sample_id,image_file,language,split,split_row,label,duplicate_group,text_sha256
zh-000000,395b164be9c9b470f9805cc57c64cf13.jpg,zh,train,0,0,0,7d351aed8a1df3e2362fe4c5625c48318c9a824b2013e4d6558fee2dad16462b
zh-000002,451d91e6903874d6d089e963e1580e09.jpg,zh,train,1,1,2,130701c89176f57cd9d3fe8ca0e3eac3695b1dc7fe1d7353ad7bf6b8a2efa0c2
zh-000003,8f1a55bcff9f491a841cacbb1a0654ca.jpg,zh,train,2,1,3,4d067f1e3a0f0f44e73daa120dcb60c388aed4616f1da76829b389077dcb0ee3
zh-000004,412ab8dc07f0c91f7e3dcfc747fdc761.jpg,zh,train,3,1,4,e677c4782535f9e91434d2877644eccdcfb51d6c3ed958ef562a01c334dea153
zh-000005,f1eb6e44bf28be6d19e9188c88c81b7a.jpg,zh,train,4,0,5,2f246622653422732ed7018066affb299ef98ca7bb0d235048cfaee2e74ecb26
zh-000006,cc2d990c55b8fc925f17d1ec108703d3.jpg,zh,train,5,0,6,873130c32a3ce3648a6d12e2c06bd1e233c137b819d9a7ec42d02dc80b618d8b
zh-000008,e48c333bc5aff6bb655b37b3dd74f5ab.jpg,zh,train,6,2,8,e865af4df89d8ce596369a33a9452d463a1c396e67bc23a64e7923708127769a
zh-000009,539205d43d01a49c9f9c3869e1af3a06.jpg,zh,train,7,2,9,4a4892f4e09d26c9d8b2d61c18b130dec71efa9389eda3a61ee9d3262754253d
zh-000010,31f574fb6254e1e882e46eec1711d35a.jpg,zh,train,8,1,10,a4d676d1be15877c45fda282d6019794feedb4b0dbb14eef257a6a69a459e5bd
zh-000011,ac097c521183f1f031d19fe5ee679795.jpg,zh,train,9,1,11,666076fe8d75b4036ac5f2d7f84d55e0ce5421aa6bd0659abbd656c1977b5351
zh-000012,675c3d14fe5eac47de6a13bc467e95f9.jpeg,zh,train,10,0,12,c2452a51f37d85a7c5ce7082494b85a65c5d3c6a9ef0a12143afe14bb6c852bb
zh-000013,ad2e5addc97b903cd1ad8d4eee46a84b.jpg,zh,train,11,1,13,0b6f5dbb4ebc85e63b7960dc9b8f668d526b69c9a541c5ee8c17d8e5bfd35d67
zh-000014,a12778bf9a6885abd4842b418486b935.jpg,zh,train,12,1,14,4a12c62e143433f4373011ceb44e5a5da99b8871036d1fda11666866cbe040bc
